Dataset,PublishTime,StartTime,SettlementDate,SettlementPeriod,FuelType,Generation
FUELHH,2025-02-06T04:00:00Z,2025-02-06T03:30:00Z,2025-02-06,8,NUCLEAR,4239
FUELHH,2025-02-06T04:00:00Z,2025-02-06T03:30:00Z,2025-02-06,8,OCGT,0
FUELHH,2025-02-06T04:00:00Z,2025-02-06T03:30:00Z,2025-02-06,8,OIL,0
FUELHH,2025-02-06T04:00:00Z,2025-02-06T03:30:00Z,2025-02-06,8,OTHER,284
FUELHH,2025-02-06T04:00:00Z,2025-02-06T03:30:00Z,2025-02-06,8,PS,-1602
FUELHH,2025-02-06T04:00:00Z,2025-02-06T03:30:00Z,2025-02-06,8,WIND,4260
FUELHH,2025-02-06T03:30:00Z,2025-02-06T03:00:00Z,2025-02-06,7,BIOMASS,3028
FUELHH,2025-02-06T03:30:00Z,2025-02-06T03:00:00Z,2025-02-06,7,CCGT,15094
FUELHH,2025-02-06T03:30:00Z,2025-02-06T03:00:00Z,2025-02-06,7,COAL,0
FUELHH,2025-02-06T03:30:00Z,2025-02-06T03:00:00Z,2025-02-06,7,INTELEC,0
FUELHH,2025-02-06T03:30:00Z,2025-02-06T03:00:00Z,2025-02-06,7,INTEW,-300
FUELHH,2025-02-06T03:30:00Z,2025-02-06T03:00:00Z,2025-02-06,7,INTFR,862
FUELHH,2025-02-06T03:30:00Z,2025-02-06T03:00:00Z,2025-02-06,7,INTGRNL,-514
FUELHH,2025-02-06T03:30:00Z,2025-02-06T03:00:00Z,2025-02-06,7,INTIFA2,158
FUELHH,2025-02-06T03:30:00Z,2025-02-06T03:00:00Z,2025-02-06,7,INTIRL,-312
FUELHH,2025-02-06T03:30:00Z,2025-02-06T03:00:00Z,2025-02-06,7,INTNED,-102
FUELHH,2025-02-06T03:30:00Z,2025-02-06T03:00:00Z,2025-02-06,7,INTNEM,-28
FUELHH,2025-02-06T03:30:00Z,2025-02-06T03:00:00Z,2025-02-06,7,INTNSL,1398
FUELHH,2025-02-06T03:30:00Z,2025-02-06T03:00:00Z,2025-02-06,7,INTVKL,654
FUELHH,2025-02-06T03:30:00Z,2025-02-06T03:00:00Z,2025-02-06,7,NPSHYD,471
FUELHH,2025-02-06T03:30:00Z,2025-02-06T03:00:00Z,2025-02-06,7,NUCLEAR,4241
FUELHH,2025-02-06T03:30:00Z,2025-02-06T03:00:00Z,2025-02-06,7,OCGT,1
FUELHH,2025-02-06T03:30:00Z,2025-02-06T03:00:00Z,2025-02-06,7,OIL,0
FUELHH,2025-02-06T03:30:00Z,2025-02-06T03:00:00Z,2025-02-06,7,OTHER,258
FUELHH,2025-02-06T03:30:00Z,2025-02-06T03:00:00Z,2025-02-06,7,PS,-1624
FUELHH,2025-02-06T03:30:00Z,2025-02-06T03:00:00Z,2025-02-06,7,WIND,4234
FUELHH,2025-02-06T03:00:00Z,2025-02-06T02:30:00Z,2025-02-06,6,BIOMASS,2984
FUELHH,2025-02-06T03:00:00Z,2025-02-06T02:30:00Z,2025-02-06,6,CCGT,14693
FUELHH,2025-02-06T03:00:00Z,2025-02-06T02:30:00Z,2025-02-06,6,COAL,0
FUELHH,2025-02-06T03:00:00Z,2025-02-06T02:30:00Z,2025-02-06,6,INTELEC,0
FUELHH,2025-02-06T03:00:00Z,2025-02-06T02:30:00Z,2025-02-06,6,INTEW,-306
FUELHH,2025-02-06T03:00:00Z,2025-02-06T02:30:00Z,2025-02-06,6,INTFR,756
